Rank	Country	Capital	Continent	2022_Population	Area
36	Afghanistan	Kabul	Asia	41128771	652230
138	Albania	Tirana	Europe	2842321	28748
34	Algeria	Algiers	Africa	44903225	2381741
213	American Samoa	Pago Pago	Oceania	44273	199
203	Andorra	Andorra la Vella	Europe	79824	468
42	Angola	Luanda	Africa	35588987	1246700
224	Anguilla	The Valley	North America	15857	91
201	Antigua and Barbuda	Saint John’s	North America	93763	442
33	Argentina	Buenos Aires	South America	45510318	2780400
140	Armenia	Yerevan	Asia	2780469	29743
198	Aruba	Oranjestad	North America	106445	180
55	Australia	Canberra	Oceania	26177413	7692024
99	Austria	Vienna	Europe	8939617	83871
91	Azerbaijan	Baku	Asia	10358074	86600
176	Bahamas	Nassau	North America	409984	13943
154	Bahrain	Manama	Asia	1472233	765
8	Bangladesh	Dhaka	Asia	171186372	147570
186	Barbados	Bridgetown	North America	281635	430
96	Belarus	Minsk	Europe	9534954	207600
81	Belgium	Brussels	Europe	11655930	30528
177	Belize	Belmopan	North America	405272	22966
77	Benin	Porto-Novo	Africa	13352864	112622
206	Bermuda	Hamilton	North America	64184	54
165	Bhutan	Thimphu	Asia	782455	38394
80	Bolivia	Sucre	South America	12224110	1098581
137	Bosnia and Herzegovina	Sarajevo	Europe	3233526	51209
144	Botswana	Gaborone	Africa	2630296	582000
7	Brazil	Brasilia	South America	215313498	8515767
221	British Virgin Islands	Road Town	North America	31305	151
175	Brunei	Bandar Seri Begawan	Asia	449002	5765
108	Bulgaria	Sofia	Europe	6781953	110879
58	Burkina Faso	Ouagadougou	Africa	22673762	272967
78	Burundi	Bujumbura	Africa	12889576	27834
73	Cambodia	Phnom Penh	Asia	16767842	181035
53	Cameroon	Yaounde	Africa	27914536	475442
39	Canada	Ottawa	North America	38454327	9984670
171	Cape Verde	Praia	Africa	593149	4033
205	Cayman Islands	George Town	North America	68706	264
117	Central African Republic	Bangui	Africa	5579144	622984
69	Chad	N'Djamena	Africa	17723315	1284000
65	Chile	Santiago	South America	19603733	756102
1	China	Beijing	Asia	1425887337	9706961
28	Colombia	Bogota	South America	51874024	1141748
163	Comoros	Moroni	Africa	836774	1862
223	Cook Islands	Avarua	Oceania	17011	236
124	Costa Rica	San José	North America	5180829	51100
130	Croatia	Zagreb	Europe	4030358	56594
85	Cuba	Havana	North America	11212191	109884
189	Curacao	Willemstad	North America	191163	444
158	Cyprus	Nicosia	Europe	1251488	9251
88	Czech Republic	Prague	Europe	10493986	78865
115	Denmark	Copenhagen	Europe	5882261	43094
160	Djibouti	Djibouti	Africa	1120849	23200
204	Dominica	Roseau	North America	72737	751
84	Dominican Republic	Santo Domingo	North America	11228821	48671
15	DR Congo	Kinshasa	Africa	99010212	2344858
67	Ecuador	Quito	South America	18001000	276841
14	Egypt	Cairo	Africa	110990103	1002450
112	El Salvador	San Salvador	North America	6336392	21041
152	Equatorial Guinea	Malabo	Africa	1674908	28051
132	Eritrea	Asmara	Africa	3684032	117600
156	Estonia	Tallinn	Europe	1326062	45227
159	Eswatini	Mbabane	Africa	1201670	17364
12	Ethiopia	Addis Ababa	Africa	123379924	1104300
231	Falkland Islands	Stanley	South America	3780	12173
209	Faroe Islands	Tórshavn	Europe	53090	1393
162	Fiji	Suva	Oceania	929766	18272
118	Finland	Helsinki	Europe	5540745	338424
