Continente y país de residencia: Nivel 1;Continente y país de residencia: Nivel 2;Continente y país de residencia: Nivel 3;Continente y país de residencia: Nivel 4;Concepto turístico;Periodo;Total;año;mes
Total;;;;Turistas;2019M07;9265740.0;2019;7
Total;;;;Pernoctaciones;2019M07;57808472.0;2019;7
Total;;;;Duración media de los viajes;2019M07;6.2;2019;7
Total;;;;Turistas;2019M08;11125931.0;2019;8
Total;;;;Pernoctaciones;2019M08;88718006.0;2019;8
Total;;;;Duración media de los viajes;2019M08;8.0;2019;8
Total;;;;Turistas;2019M09;8434136.0;2019;9
Total;;;;Pernoctaciones;2019M09;57759874.0;2019;9
Total;;;;Duración media de los viajes;2019M09;6.8;2019;9
Total;;;;Turistas;2019M10;7570293.0;2019;10
Total;;;;Pernoctaciones;2019M10;55092885.0;2019;10
Total;;;;Duración media de los viajes;2019M10;7.3;2019;10
Total;;;;Turistas;2019M11;5141629.0;2019;11
Total;;;;Pernoctaciones;2019M11;41313131.0;2019;11
Total;;;;Duración media de los viajes;2019M11;8.0;2019;11
Total;;;;Turistas;2019M12;4457795.0;2019;12
Total;;;;Pernoctaciones;2019M12;38530453.0;2019;12
Total;;;;Duración media de los viajes;2019M12;8.6;2019;12
Total;;;;Turistas;2020M01;4786480.0;2020;1
Total;;;;Pernoctaciones;2020M01;40901002.0;2020;1
Total;;;;Duración media de los viajes;2020M01;8.5;2020;1
Total;;;;Turistas;2020M02;4603235.0;2020;2
Total;;;;Pernoctaciones;2020M02;35037620.0;2020;2
Total;;;;Duración media de los viajes;2020M02;7.6;2020;2
Total;;;;Turistas;2020M03;3485313.0;2020;3
Total;;;;Pernoctaciones;2020M03;39894646.0;2020;3
Total;;;;Duración media de los viajes;2020M03;11.4;2020;3
Total;;;;Turistas;2020M04;922171.0;2020;4
Total;;;;Pernoctaciones;2020M04;12591912.0;2020;4
Total;;;;Duración media de los viajes;2020M04;13.7;2020;4
Total;;;;Turistas;2020M05;1059582.0;2020;5
Total;;;;Pernoctaciones;2020M05;13308423.0;2020;5
Total;;;;Duración media de los viajes;2020M05;12.6;2020;5
Total;;;;Turistas;2020M06;1325460.0;2020;6
Total;;;;Pernoctaciones;2020M06;9972450.0;2020;6
Total;;;;Duración media de los viajes;2020M06;7.5;2020;6
Total;;;;Turistas;2020M07;3245631.0;2020;7
Total;;;;Pernoctaciones;2020M07;30356603.0;2020;7
Total;;;;Duración media de los viajes;2020M07;9.4;2020;7
Total;;;;Turistas;2020M08;4011671.0;2020;8
Total;;;;Pernoctaciones;2020M08;42899031.0;2020;8
Total;;;;Duración media de los viajes;2020M08;10.7;2020;8
Total;;;;Turistas;2020M09;2314643.0;2020;9
Total;;;;Pernoctaciones;2020M09;24029064.0;2020;9
Total;;;;Duración media de los viajes;2020M09;10.4;2020;9
Total;;;;Turistas;2020M10;2125311.0;2020;10
Total;;;;Pernoctaciones;2020M10;26393143.0;2020;10
Total;;;;Duración media de los viajes;2020M10;12.4;2020;10
Total;;;;Turistas;2020M11;1678163.0;2020;11
Total;;;;Pernoctaciones;2020M11;20520057.0;2020;11
Total;;;;Duración media de los viajes;2020M11;12.2;2020;11
Total;;;;Turistas;2020M12;1911457.0;2020;12
Total;;;;Pernoctaciones;2020M12;25018555.0;2020;12
Total;;;;Duración media de los viajes;2020M12;13.1;2020;12
Total;;;;Turistas;2021M01;1517253.0;2021;1
Total;;;;Pernoctaciones;2021M01;11508289.0;2021;1
Total;;;;Duración media de los viajes;2021M01;7.6;2021;1
Total;;;;Turistas;2021M02;1351179.0;2021;2
Total;;;;Pernoctaciones;2021M02;12415083.0;2021;2
Total;;;;Duración media de los viajes;2021M02;9.2;2021;2
Total;;;;Turistas;2021M03;1622226.0;2021;3
Total;;;;Pernoctaciones;2021M03;15195034.0;2021;3
Total;;;;Duración media de los viajes;2021M03;9.4;2021;3
Total;;;;Turistas;2021M04;1756599.0;2021;4
Total;;;;Pernoctaciones;2021M04;15907153.0;2021;4
Total;;;;Duración media de los viajes;2021M04;9.1;2021;4
Total;;;;Turistas;2021M05;2241134.0;2021;5
Total;;;;Pernoctaciones;2021M05;17911224.0;2021;5
Total;;;;Duración media de los viajes;2021M05;8.0;2021;5
Total;;;;Turistas;2021M06;2901926.0;2021;6
Total;;;;Pernoctaciones;2021M06;22876217.0;2021;6
Total;;;;Duración media de los viajes;2021M06;7.9;2021;6
Total;;;;Turistas;2021M07;4773920.0;2021;7
Total;;;;Pernoctaciones;2021M07;36874476.0;2021;7
Total;;;;Duración media de los viajes;2021M07;7.7;2021;7
Total;;;;Turistas;2021M08;6255522.0;2021;8
Total;;;;Pernoctaciones;2021M08;52033159.0;2021;8
Total;;;;Duración media de los viajes;2021M08;8.3;2021;8
Total;;;;Turistas;2021M09;5019148.0;2021;9
Total;;;;Pernoctaciones;2021M09;38028312.0;2021;9
Total;;;;Duración media de los viajes;2021M09;7.6;2021;9
Total;;;;Turistas;2021M10;5331965.0;2021;10
Total;;;;Pernoctaciones;2021M10;39650842.0;2021;10
Total;;;;Duración media de los viajes;2021M10;7.4;2021;10
Total;;;;Turistas;2021M11;4177052.0;2021;11
Total;;;;Pernoctaciones;2021M11;30691687.0;2021;11
Total;;;;Duración media de los viajes;2021M11;7.3;2021;11
Total;;;;Turistas;2021M12;3268067.0;2021;12
Total;;;;Pernoctaciones;2021M12;27549883.0;2021;12
Total;;;;Duración media de los viajes;2021M12;8.4;2021;12
Total;;;;Turistas;2022M01;3316759.0;2022;1
Total;;;;Pernoctaciones;2022M01;29230514.0;2022;1
Total;;;;Duración media de los viajes;2022M01;8.8;2022;1
Total;;;;Turistas;2022M02;3502426.0;2022;2
Total;;;;Pernoctaciones;2022M02;28237104.0;2022;2
Total;;;;Duración media de los viajes;2022M02;8.1;2022;2
Total;;;;Turistas;2022M03;4593857.0;2022;3
Total;;;;Pernoctaciones;2022M03;36904917.0;2022;3
Total;;;;Duración media de los viajes;2022M03;8.0;2022;3
Total;;;;Turistas;2022M04;6416414.0;2022;4
Total;;;;Pernoctaciones;2022M04;45879856.0;2022;4
Total;;;;Duración media de los viajes;2022M04;7.2;2022;4
Total;;;;Turistas;2022M05;7387711.0;2022;5
Total;;;;Pernoctaciones;2022M05;51200276.0;2022;5
Total;;;;Duración media de los viajes;2022M05;6.9;2022;5
Total;;;;Turistas;2022M06;7659444.0;2022;6
Total;;;;Pernoctaciones;2022M06;54880436.0;2022;6
Total;;;;Duración media de los viajes;2022M06;7.2;2022;6
Total;;;;Turistas;2022M07;9183477.0;2022;7
Total;;;;Pernoctaciones;2022M07;65117360.0;2022;7
Total;;;;Duración media de los viajes;2022M07;7.1;2022;7
