,Precio mercado SPOT Diario,Demanda programada PBF total,Generación programada PBF Turbinación bombeo,Generación programada PBF Solar térmica,Generación programada PBF Solar fotovoltaica,Generación programada PBF Saldo Portugal,Generación programada PBF Saldo Marruecos,Generación programada PBF Saldo Francia,Generación programada PBF Saldo Andorra,Generación programada PBF Residuos,Generación programada PBF Biogás,Generación programada PBF Biomasa,Generación programada PBF Carbón,Generación programada PBF Ciclo combinado,Generación programada PBF Cogeneración,Generación programada PBF Consumo bombeo,Generación programada PBF Enlace Baleares,Generación programada PBF Eólica,Generación programada PBF Nuclear,Generación programada PBF Hidráulica UGH,Generación programada PBF Hidráulica no UGH,Generación programada PBF Otros,Índice de llenado medio semanal de almacenamiento hidráulico
2020-09-27 13:00:00+00:00,22.0,23170.9,0.0,1925.1,6257.9,-2866.3,0.0,-3283.0,-47.0,343.9,91.8,496.6,0.0,450.0,3071.2,-490.8,-128.0,9433.3,6968.8,552.2,394.4,0.7999999999992724,8407927.0
2020-09-27 14:00:00+00:00,21.54,22537.9,0.0,1932.4,5613.8,-2780.9,0.0,-3283.0,-45.0,343.9,91.9,497.1,0.0,450.0,3072.8,-783.0,-128.0,9572.5,6968.8,619.0,394.8,0.7999999999992724,8407927.0
2020-09-27 15:00:00+00:00,21.66,22314.3,0.0,1876.3,4536.3,-2646.8,0.0,-2728.0,-44.0,343.1,92.1,494.8,0.0,450.0,3032.5,-783.0,-128.0,9771.1,6969.8,684.3,393.0,0.7999999999992724,8407927.0
2020-09-27 16:00:00+00:00,24.51,22325.2,0.0,1705.3,2691.9,-1787.2,0.0,-2728.0,-44.0,344.9,92.3,496.5,0.0,570.0,3042.7,-318.0,-153.0,9948.3,6971.8,1092.9,398.0,0.7999999999992724,8407927.0
2020-09-27 17:00:00+00:00,37.73,22265.6,120.0,1148.5,758.0,-561.1,0.0,-2728.0,-46.0,347.6,99.6,499.2,0.0,677.5,3162.9,0.0,-153.0,10065.1,6971.8,1484.9,417.8,0.7999999999956344,8407927.0
2020-09-27 18:00:00+00:00,45.09,24492.2,1360.0,663.8,123.0,822.7,0.0,-2728.0,-49.0,347.7,101.3,499.3,0.0,679.9,3176.4,0.0,-179.0,10027.0,6977.8,2214.0,454.5,0.7999999999992724,8407927.0
2020-09-27 19:00:00+00:00,46.48,25369.8,1360.0,517.3,80.6,530.2,0.0,-1326.8,-48.0,349.0,100.9,501.9,0.0,681.3,3205.9,0.0,-179.0,9820.0,6978.8,2332.1,464.8,0.8000000000029104,8407927.0
2020-09-27 20:00:00+00:00,41.76,23931.0,867.5,478.9,42.1,30.5,0.0,-838.0,-43.0,347.3,99.7,502.0,0.0,683.5,3183.0,0.0,-153.0,9447.4,6980.8,1861.5,440.0,0.7999999999992724,8407927.0
2020-09-27 21:00:00+00:00,37.84,22332.6,120.0,427.0,8.4,-777.4,0.0,-145.4,-38.0,348.3,98.0,501.9,0.0,685.1,3183.6,0.0,-128.0,9339.3,6981.8,1311.8,415.4,0.7999999999992724,8407927.0
2020-09-27 22:00:00+00:00,33.3,21695.2,0.0,221.7,6.0,-2282.1,0.0,1841.0,-33.0,357.7,93.5,455.5,177.0,818.3,3139.4,-7.9,-102.0,9144.7,6975.2,487.3,402.2,0.7000000000007276,8407927.0
2020-09-27 23:00:00+00:00,30.82,20742.8,0.0,173.1,6.0,-2439.8,0.0,2075.8,-30.0,360.2,92.2,455.1,176.0,668.7,3072.6,-508.0,-82.0,8927.8,6973.2,427.7,393.5,0.7000000000007276,8407555.208333334
2020-09-28 00:00:00+00:00,29.5,20129.4,0.0,161.5,6.0,-2489.8,0.0,1989.8,-28.0,361.1,91.9,455.7,120.0,669.4,3026.8,-698.0,-62.0,8744.3,6974.2,417.1,388.7,0.7000000000043656,8407183.416666666
2020-09-28 01:00:00+00:00,28.6,19745.3,0.0,80.9,6.0,-2371.9,0.0,2076.9,-27.0,361.3,93.1,455.7,0.0,669.8,2998.3,-896.8,-62.0,8574.2,6973.2,416.1,396.8,0.7000000000007276,8406811.625
2020-09-28 02:00:00+00:00,28.72,19781.0,0.0,74.2,6.0,-2312.8,0.0,1992.9,-27.0,359.9,93.4,455.0,0.0,685.6,3000.0,-698.0,-62.0,8451.0,6975.2,406.6,380.3,0.7000000000007276,8406439.833333334
2020-09-28 03:00:00+00:00,30.89,20352.5,0.0,51.2,6.0,-1934.3,0.0,1933.6,-28.0,360.6,93.2,456.1,0.0,851.1,3033.7,-508.0,-82.0,8344.4,6977.2,417.6,379.4,0.7000000000007276,8406068.041666666
2020-09-28 04:00:00+00:00,47.04,21992.7,0.0,47.9,6.0,441.4,0.0,-2066.4,-31.0,360.7,93.8,456.1,0.0,2501.6,3195.6,0.0,-102.0,8189.0,6980.2,1491.4,427.7,0.6999999999970896,8405696.25
